levelId,Filename,Area_Name,Name,Pos,Rotate,Type,Destination,EntityID,FixedMonsterID
281050;281049;281048;281047;281046;281045;281044;281043;281042;281041;281040;281039;281038;281037;281036;281035;281034;281033;281032;281031;281030;281029;281028;281027;281026;281025;281024;281023;281022;281021;281020;281019;281018;281017;281016;281015;281014;281013;281012;281011;281010;281005;281004;281003;281002;281001;220110;220109;220108;220107;220106;220105;220104;220103;220102;220101;210116;210115;210114;210113;210112;210111;210110;210109;210108;210107;210106;210105;210104;210103;210102;210101;200527;200526;200525;200524;200523;200522;200521;200520;200519;200518;200517;200516;200515;200514;200513;200512;200511;200510;200509;200508;200507;200506;200505;200504;200437;200436;200428;200427;200426;200425;200424;200423;200422;200421;200420;200419;200418;200417;200416;200415;200414;200413;200412;200411;200410;200409;200408;200407;200406;200405;200404;200343;200342;200341;200340;200339;200338;200337;200336;200328;200327;200326;200325;200324;200323;200322;200321;200320;200319;200318;200317;200316;200315;200314;200313;200312;200311;200310;200309;200308;200307;200306;200305;200304;200235;200234;200233;200232;200231;200230;200229;200228;200227;200226;200225;200224;200223;200222;200221;200220;200209;200208;200207;200206;200205;200204;200136;200135;200134;200133;200132;200131;200130;200129;200128;200127;200126;200125;200124;200123;200122;200121;200120;200119;200111;200110;200109;200108;200107;200106;140089;140088;140087;140086;140085;140084;140083;140082;140081;140080;140079;140078;140077;140076;140075;140074;140073;140072;140071;140070;140069;140068;140067;140066;140065;140064;140063;140062;140061;140060;140059;140058;140057;140056;140055;140054;140053;,arena_001,,DM_Spawner_4,"1394.3231,748.71735,30.022926","1,0,0,0",MHMonsterSpawnPoint,,131,0
140921;,arena_001,,TaoBao_11,"1412.7249,743.28119,30.01001","0.57357639,0,0,0.81915212",MHMonsterSpawnPoint,,39,70066
140921;,arena_001,,TaoBao_8,"1410.5405,748.90051,30.055609","0.33380681,0,0,0.94264156",MHMonsterSpawnPoint,,38,70066
141006;141005;141004;141003;141002;141001;141000;,arena_001,,Distant02,"1379.9539,748.2475,30","4.3711388e-008,0,0,1",MHMonsterSpawnPoint,,340,0
141006;141005;141004;141003;141002;141001;141000;,arena_001,,LowAlt7,"1380.2565,718.4566,33.92712","4.3711388e-008,0,0,1",MHMonsterSpawnPoint,,339,0
451109;,arena_001,,451109_Boss2,"1407.2479,739.0531,64.383591","0.034899376,0,0,0.99939084",MHMonsterSpawnPoint,,144,60441
651001;,arena_001,,MHSpawnPoint71,"1411.4037,725.71747,30.338724","-0.017452328,0,0,0.99984771",MHMonsterSpawnPoint,,54,60030
140921;,arena_001,,TaoBao_1,"1396.8081,751.19354,30.037601","-0.19080906,0,0,0.98162717",MHMonsterSpawnPoint,,37,70066
,arena_001,,NPC_CatFood_Cooker,"628.63367,863.28418,30.459885","0.5519371,0,0,-0.83388579",MHMonsterSpawnPoint,,122,33343
141004;141003;141002;141001;141000;141006;141005;,arena_001,,MHSpawnPoint_Normal2,"1413.2916,720.14166,30","0.7313537,0,0,-0.68199837",MHMonsterSpawnPoint,,17,0
140921;,arena_001,,Hongsulong_1,"1397.7676,736.76233,30.037601","-0.19080906,0,0,0.98162717",MHMonsterSpawnPoint,,193,50080
281050;281049;281048;281047;281046;281045;281044;281043;281042;281041;281040;281039;281038;281037;281036;281035;281034;281033;281032;281031;281030;281029;281028;281027;281026;281025;281024;281023;281022;281021;281020;281019;281018;281017;281016;281015;281014;281013;281012;281011;281010;281005;281004;281003;281002;281001;220110;220109;220108;220107;220106;220105;220104;220103;220102;220101;210116;210115;210114;210113;210112;210111;210110;210109;210108;210107;210106;210105;210104;210103;210102;210101;200527;200526;200525;200524;200523;200522;200521;200520;200519;200518;200517;200516;200515;200514;200513;200512;200511;200510;200509;200508;200507;200506;200505;200504;200437;200436;200428;200427;200426;200425;200424;200423;200422;200421;200420;200419;200418;200417;200416;200415;200414;200413;200412;200411;200410;200409;200408;200407;200406;200405;200404;200343;200342;200341;200340;200339;200338;200337;200336;200328;200327;200326;200325;200324;200323;200322;200321;200320;200319;200318;200317;200316;200315;200314;200313;200312;200311;200310;200309;200308;200307;200306;200305;200304;200235;200234;200233;200232;200231;200230;200229;200228;200227;200226;200225;200224;200223;200222;200221;200220;200209;200208;200207;200206;200205;200204;200136;200135;200134;200133;200132;200131;200130;200129;200128;200127;200126;200125;200124;200123;200122;200121;200120;200119;200111;200110;200109;200108;200107;200106;140089;140088;140087;140086;140085;140084;140083;140082;140081;140080;140079;140078;140077;140076;140075;140074;140073;140072;140071;140070;140069;140068;140067;140066;140065;140064;140063;140062;140061;140060;140059;140058;140057;140056;140055;140054;140053;,arena_001,,DM_Spawner_1,"1414.5361,721.00916,30","1,0,0,0",MHMonsterSpawnPoint,,130,0
141006;141005;141004;141003;141002;141001;141000;,arena_001,,LowAlt04,"1424.1151,757.29797,36.081879","4.3711388e-008,0,0,1",MHMonsterSpawnPoint,,338,0
141004;,arena_001,,MHSpawnPoint34,"1421.2996,717.60114,30","0.92387956,0,0,0.38268346",MHMonsterSpawnPoint,,101,50220
140921;,arena_001,,W_4_Hongsulong_1,"1414.6267,739.74591,30.037601","-0.19080906,0,0,0.98162717",MHMonsterSpawnPoint,,192,50080
140921;,arena_001,,TaoBao_7,"1411.8352,731.40497,30","0.90996128,0,0,0.41469321",MHMonsterSpawnPoint,,191,70066
141006;141005;141004;141003;141002;141001;141000;,arena_001,,LowAlt8,"1393.7369,755.0863,32.857388","4.3711388e-008,0,0,1",MHMonsterSpawnPoint,,337,0
141004;,arena_001,,MHSpawnPoint47,"1414.6168,741.78821,30","0.92387956,0,0,-0.38268343",MHMonsterSpawnPoint,,100,50070
140924;,arena_001,,MHSpawnPoint78,"1405.6482,753.58575,61.311279","0.017452354,0,0,0.99984771",MHMonsterSpawnPoint,,204,60900
141004;,arena_001,,MHSpawnPoint30,"1408.9783,734.72357,30","0.37460667,0,0,0.92718381",MHMonsterSpawnPoint,,107,50050
141004;,arena_001,,MHSpawnPoint57,"1411.7704,743.44312,30","-0.13917306,0,0,0.99026811",MHMonsterSpawnPoint,,315,50180
141004;,arena_001,,MHSpawnPoint40,"1393.9264,723.81018,30","-0.37460667,0,0,0.92718381",MHMonsterSpawnPoint,,99,50170
140921;,arena_001,,Taomaoshou_1,"1389.1549,728.18433,30.086304","0.80385697,0,0,-0.59482265",MHMonsterSpawnPoint,,190,50220
140114;,arena_001,,MainMonsterSpawnPoint1,"1406.3425,745.01599,30.303141","-0.017452383,0,0,0.99984771",MHMonsterSpawnPoint,,200,0
140921;,arena_001,,TaoBao_13,"1405.842,724.00031,30","0.99862951,0,0,0.052335955",MHMonsterSpawnPoint,,189,70066
141004;,arena_001,,MHSpawnPoint59,"1398.6985,715.55219,30","0.99691731,0,0,0.078459188",MHMonsterSpawnPoint,,88,50170
140921;,arena_001,,TaoBao_15,"1392.005,731.92297,30.031212","0.89100653,0,0,-0.45399043",MHMonsterSpawnPoint,,188,70066
141004;141003;141002;141001;141000;141006;141005;,arena_001,,MHSpawnPoint_Normal3,"1396.4675,716.5578,30","-0.39874905,0,0,0.91706008",MHMonsterSpawnPoint,,18,0
141006;141005;141004;141003;141002;141001;141000;,arena_001,,Tussock5,"1384.901,747.41321,30.151104","4.3711388e-008,0,0,1",MHMonsterSpawnPoint,,336,0
651002;,arena_001,,MHSpawnPoint72,"639.91895,858.07397,30.242023","0.5,0,0,0.86602539",MHMonsterSpawnPoint,,52,33064
140921;,arena_001,,TaoBao_17,"1387.0792,750.16156,30.119999","0.54463905,0,0,-0.83867055",MHMonsterSpawnPoint,,187,70066
141004;141003;141002;141001;141000;141006;141005;,arena_001,,MHSpawnPoint_Normal1,"1415.838,725.50562,30","1,0,0,0",MHMonsterSpawnPoint,,19,0
141004;,arena_001,,MHSpawnPoint41,"1397.7666,749.1275,30","0.37460667,0,0,0.92718381",MHMonsterSpawnPoint,,98,50050
141006;141005;141004;141003;141002;141001;141000;,arena_001,,Distant5,"1376.8582,733.07043,30","4.3711388e-008,0,0,1",MHMonsterSpawnPoint,,335,0
141004;141003;141002;141001;141000;141006;141005;,arena_001,,MHSpawnPoint_Normal4,"1399.1375,722.14288,30.001444","0.23344536,0,0,0.97236991",MHMonsterSpawnPoint,,21,0
140130;,arena_001,,MHSpawnPoint60,"1399.7761,734.10846,30","1,0,0,0",MHMonsterSpawnPoint,,58,60070
141004;,arena_001,,MHSpawnPoint49,"1417.5232,723.97095,30","-0.41469324,0,0,0.90996128",MHMonsterSpawnPoint,,97,50220
140111;,arena_001,,MHSpawnPoint67,"1403.7137,751.87317,30","-0.034899496,0,0,0.99939084",MHMonsterSpawnPoint,,213,60300
140924;,arena_001,,MHSpawnPoint77,"1405.3411,755.09296,30.04952","0.017452354,0,0,0.99984771",MHMonsterSpawnPoint,,203,60870
651001;,arena_001,,MHSpawnPoint68,"639.98938,858.1911,30.173861","0.52249879,0,0,0.85264003",MHMonsterSpawnPoint,,53,33319
140924;,arena_001,,FireLion1,"1405.6802,790.00366,30.095993","-0.017452253,0,0,0.99984771",MHMonsterSpawnPoint,,202,60880
451107;,arena_001,,451107_Boss,"1410.4475,744.42743,30.048672","1,0,0,0",MHMonsterSpawnPoint,,150,60270
281050;281049;281048;281047;281046;281045;281044;281043;281042;281041;281040;281039;281038;281037;281036;281035;281034;281033;281032;281031;281030;281029;281028;281027;281026;281025;281024;281023;281022;281021;281020;281019;281018;281017;281016;281015;281014;281013;281012;281011;281010;281005;281004;281003;281002;281001;220110;220109;220108;220107;220106;220105;220104;220103;220102;220101;210116;210115;210114;210113;210112;210111;210110;210109;210108;210107;210106;210105;210104;210103;210102;210101;200527;200526;200525;200524;200523;200522;200521;200520;200519;200518;200517;200516;200515;200514;200513;200512;200511;200510;200509;200508;200507;200506;200505;200504;200437;200436;200428;200427;200426;200425;200424;200423;200422;200421;200420;200419;200418;200417;200416;200415;200414;200413;200412;200411;200410;200409;200408;200407;200406;200405;200404;200343;200342;200341;200340;200339;200338;200337;200336;200328;200327;200326;200325;200324;200323;200322;200321;200320;200319;200318;200317;200316;200315;200314;200313;200312;200311;200310;200309;200308;200307;200306;200305;200304;200235;200234;200233;200232;200231;200230;200229;200228;200227;200226;200225;200224;200223;200222;200221;200220;200209;200208;200207;200206;200205;200204;200136;200135;200134;200133;200132;200131;200130;200129;200128;200127;200126;200125;200124;200123;200122;200121;200120;200119;200111;200110;200109;200108;200107;200106;140089;140088;140087;140086;140085;140084;140083;140082;140081;140080;140079;140078;140077;140076;140075;140074;140073;140072;140071;140070;140069;140068;140067;140066;140065;140064;140063;140062;140061;140060;140059;140058;140057;140056;140055;140054;140053;,arena_001,,DM_Spawner_9,"1410.6965,711.29889,30","1,0,0,0",MHMonsterSpawnPoint,,129,0
,arena_001,,MHSpawnPoint1,"640.9101,863.04822,30","0.08715567,0,0,0.99619472",MHMonsterSpawnPoint,,121,39004
,arena_001,,EntrustBossSP1_Noraml4,"1403.1803,791.62671,30.296875","-1.0192995e-008,0,0,1",MHMonsterSpawnPoint,,164,0
140921;,arena_001,,W_4_xiangguzhu_1,"1396.3711,729.0705,30.037601","0.95105648,0,0,-0.30901703",MHMonsterSpawnPoint,,186,50040
141006;141005;141004;141003;141002;141001;141000;,arena_001,,Distant04,"1429.7336,714.84033,30","4.3711388e-008,0,0,1",MHMonsterSpawnPoint,,334,0
141006;141005;141004;141003;141002;141001;141000;,arena_001,,Tussock3,"1410.7399,719.3067,30","4.3711388e-008,0,0,1",MHMonsterSpawnPoint,,333,0
281050;281049;281048;281047;281046;281045;281044;281043;281042;281041;281040;281039;281038;281037;281036;281035;281034;281033;281032;281031;281030;281029;281028;281027;281026;281025;281024;281023;281022;281021;281020;281019;281018;281017;281016;281015;281014;281013;281012;281011;281010;281005;281004;281003;281002;281001;220110;220109;220108;220107;220106;220105;220104;220103;220102;220101;210116;210115;210114;210113;210112;210111;210110;210109;210108;210107;210106;210105;210104;210103;210102;210101;200527;200526;200525;200524;200523;200522;200521;200520;200519;200518;200517;200516;200515;200514;200513;200512;200511;200510;200509;200508;200507;200506;200505;200504;200437;200436;200428;200427;200426;200425;200424;200423;200422;200421;200420;200419;200418;200417;200416;200415;200414;200413;200412;200411;200410;200409;200408;200407;200406;200405;200404;200343;200342;200341;200340;200339;200338;200337;200336;200328;200327;200326;200325;200324;200323;200322;200321;200320;200319;200318;200317;200316;200315;200314;200313;200312;200311;200310;200309;200308;200307;200306;200305;200304;200235;200234;200233;200232;200231;200230;200229;200228;200227;200226;200225;200224;200223;200222;200221;200220;200209;200208;200207;200206;200205;200204;200136;200135;200134;200133;200132;200131;200130;200129;200128;200127;200126;200125;200124;200123;200122;200121;200120;200119;200111;200110;200109;200108;200107;200106;140089;140088;140087;140086;140085;140084;140083;140082;140081;140080;140079;140078;140077;140076;140075;140074;140073;140072;140071;140070;140069;140068;140067;140066;140065;140064;140063;140062;140061;140060;140059;140058;140057;140056;140055;140054;140053;,arena_001,,DM_Spawner_3,"1390.7618,743.40814,30.18951","1,0,0,0",MHMonsterSpawnPoint,,128,0
141004;,arena_001,,MHSpawnPoint55,"1402.3173,740.16718,30","0.93969268,0,0,0.34201998",MHMonsterSpawnPoint,,79,50070
141004;,arena_001,,MHSpawnPoint32,"1408.4165,727.70184,30","0.92387956,0,0,0.38268346",MHMonsterSpawnPoint,,106,50170
140112;,arena_001,,MainMonsterSpawnPoint,"1406.7111,744.87402,30.216009","-0.017452383,0,0,0.99984771",MHMonsterSpawnPoint,,211,0
281050;281049;281048;281047;281046;281045;281044;281043;281042;281041;281040;281039;281038;281037;281036;281035;281034;281033;281032;281031;281030;281029;281028;281027;281026;281025;281024;281023;281022;281021;281020;281019;281018;281017;281016;281015;281014;281013;281012;281011;281010;281005;281004;281003;281002;281001;220110;220109;220108;220107;220106;220105;220104;220103;220102;220101;210116;210115;210114;210113;210112;210111;210110;210109;210108;210107;210106;210105;210104;210103;210102;210101;200527;200526;200525;200524;200523;200522;200521;200520;200519;200518;200517;200516;200515;200514;200513;200512;200511;200510;200509;200508;200507;200506;200505;200504;200437;200436;200428;200427;200426;200425;200424;200423;200422;200421;200420;200419;200418;200417;200416;200415;200414;200413;200412;200411;200410;200409;200408;200407;200406;200405;200404;200343;200342;200341;200340;200339;200338;200337;200336;200328;200327;200326;200325;200324;200323;200322;200321;200320;200319;200318;200317;200316;200315;200314;200313;200312;200311;200310;200309;200308;200307;200306;200305;200304;200235;200234;200233;200232;200231;200230;200229;200228;200227;200226;200225;200224;200223;200222;200221;200220;200209;200208;200207;200206;200205;200204;200136;200135;200134;200133;200132;200131;200130;200129;200128;200127;200126;200125;200124;200123;200122;200121;200120;200119;200111;200110;200109;200108;200107;200106;140089;140088;140087;140086;140085;140084;140083;140082;140081;140080;140079;140078;140077;140076;140075;140074;140073;140072;140071;140070;140069;140068;140067;140066;140065;140064;140063;140062;140061;140060;140059;140058;140057;140056;140055;140054;140053;,arena_001,,DM_Spawner_8,"1423.0468,737.6889,30","1,0,0,0",MHMonsterSpawnPoint,,127,0
140921;,arena_001,,TaoBao_6,"1426.168,723.24634,30","0.80385691,0,0,0.59482276",MHMonsterSpawnPoint,,185,70066
141006;141005;141004;141003;141002;141001;141000;,arena_001,,LowAlt05,"1413.1322,757.5448,32.971439","4.3711388e-008,0,0,1",MHMonsterSpawnPoint,,331,0
141004;,arena_001,,MHSpawnPoint51,"1400.2542,731.0661,30.000002","0.99862951,0,0,0.052336019",MHMonsterSpawnPoint,,332,50070
141004;,arena_001,,MHSpawnPoint58,"1412.9294,730.13629,30","0.64278769,0,0,0.76604438",MHMonsterSpawnPoint,,76,50220
281050;281049;281048;281047;281046;281045;281044;281043;281042;281041;281040;281039;281038;281037;281036;281035;281034;281033;281032;281031;281030;281029;281028;281027;281026;281025;281024;281023;281022;281021;281020;281019;281018;281017;281016;281015;281014;281013;281012;281011;281010;281005;281004;281003;281002;281001;220110;220109;220108;220107;220106;220105;220104;220103;220102;220101;210116;210115;210114;210113;210112;210111;210110;210109;210108;210107;210106;210105;210104;210103;210102;210101;200527;200526;200525;200524;200523;200522;200521;200520;200519;200518;200517;200516;200515;200514;200513;200512;200511;200510;200509;200508;200507;200506;200505;200504;200437;200436;200428;200427;200426;200425;200424;200423;200422;200421;200420;200419;200418;200417;200416;200415;200414;200413;200412;200411;200410;200409;200408;200407;200406;200405;200404;200343;200342;200341;200340;200339;200338;200337;200336;200328;200327;200326;200325;200324;200323;200322;200321;200320;200319;200318;200317;200316;200315;200314;200313;200312;200311;200310;200309;200308;200307;200306;200305;200304;200235;200234;200233;200232;200231;200230;200229;200228;200227;200226;200225;200224;200223;200222;200221;200220;200209;200208;200207;200206;200205;200204;200136;200135;200134;200133;200132;200131;200130;200129;200128;200127;200126;200125;200124;200123;200122;200121;200120;200119;200111;200110;200109;200108;200107;200106;140089;140088;140087;140086;140085;140084;140083;140082;140081;140080;140079;140078;140077;140076;140075;140074;140073;140072;140071;140070;140069;140068;140067;140066;140065;140064;140063;140062;140061;140060;140059;140058;140057;140056;140055;140054;140053;,arena_001,,DM_Spawner_2,"1390.4487,724.3244,30","1,0,0,0",MHMonsterSpawnPoint,,126,0
141006;141005;141004;141003;141002;141001;141000;,arena_001,,LowAlt02,"1422.28,714.92657,33.92712","4.3711388e-008,0,0,1",MHMonsterSpawnPoint,,358,0
651002;,arena_001,,MHSpawnPoint73,"1408.8604,736.61432,30.490261","0.026176874,0,0,0.99965733",MHMonsterSpawnPoint,,51,60070
451109;,arena_001,,451109_Boss3,"1405.6534,734.25842,64.247803","-0.034899492,0,0,0.99939084",MHMonsterSpawnPoint,,143,60252
140921;,arena_001,,Taomaoshou_3,"1418.7228,746.21509,30.187757","0.34202,0,0,0.93969268",MHMonsterSpawnPoint,,184,50220
140921;,arena_001,,W_4_xiangguzhu_2,"1398.5392,743.94452,30.037601","-0.41469315,0,0,0.90996134",MHMonsterSpawnPoint,,183,50040
140104;,arena_001,,RiverBear,"1408.0028,746.83618,30.03381","1,0,0,0",MHMonsterSpawnPoint,,47,60010
140921;,arena_001,,TaoBao_3,"1399.0072,722.47528,30","0.85264015,0,0,0.52249855",MHMonsterSpawnPoint,,182,70066
141006;141005;141004;141003;141002;141001;141000;,arena_001,,Tussock6,"1401.9734,730.7818,30","4.3711388e-008,0,0,1",MHMonsterSpawnPoint,,356,0
141006;141005;141004;141003;141002;141001;141000;,arena_001,,LowAlt03,"1432.2854,748.5318,33.92712","4.3711388e-008,0,0,1",MHMonsterSpawnPoint,,355,0
140921;,arena_001,,Xiangguzhu_1,"1402.7205,727.21405,30.037601","0.92050475,0,0,0.39073133",MHMonsterSpawnPoint,,181,50040
140921;,arena_001,,TaoBao_14,"1401.8912,752.6983,30","-0.043619476,0,0,0.99904817",MHMonsterSpawnPoint,,180,70066
451101;,arena_001,,FireLion,"1405.6802,790.00366,30.007999","-0.017452253,0,0,0.99984771",MHMonsterSpawnPoint,,160,60171
141004;,arena_001,,MHSpawnPoint25,"1409.4778,728.29877,30.000002","0.9953962,0,0,-0.095845714",MHMonsterSpawnPoint,,357,50070
141004;,arena_001,,MHSpawnPoint54,"1400.08,736.65985,30.000002","0.99984771,0,0,-0.017452443",MHMonsterSpawnPoint,,353,50070
141004;,arena_001,,MHSpawnPoint24,"1403.7767,737.05096,30.000002","0.64278764,0,0,-0.76604444",MHMonsterSpawnPoint,,352,50070
451102;,arena_001,,451102_VenomWolf,"1407.3966,746.40259,30.040577","1,0,0,0",MHMonsterSpawnPoint,,157,60481
451101;,arena_001,,GoldenSleepBird,"1400.5702,738.45349,30.007999","1,0,0,0",MHMonsterSpawnPoint,,159,60143
140921;,arena_001,,Taomaoshou_2,"1411.7083,724.1911,30.070679","0.96363044,0,0,0.26723844",MHMonsterSpawnPoint,,179,50220
140921;,arena_001,,Xiangguzhu_2,"1417.6738,729.2207,30.037601","0.3255679,0,0,0.94551867",MHMonsterSpawnPoint,,178,50040
141004;,arena_001,,MHSpawnPoint36,"1414.6564,717.49036,30","0.92387956,0,0,-0.38268343",MHMonsterSpawnPoint,,95,50220
141004;,arena_001,,MHSpawnPoint53,"1402.2021,733.59778,30.000002","0.9238795,0,0,-0.38268349",MHMonsterSpawnPoint,,310,50070
141004;,arena_001,,MHSpawnPoint38,"1397.2048,717.88232,30","0.92387956,0,0,0.38268346",MHMonsterSpawnPoint,,94,50170
141006;141005;141004;141003;141002;141001;141000;,arena_001,,LowAlt10,"1424.6582,733.66876,32.027889","4.3711388e-008,0,0,1",MHMonsterSpawnPoint,,354,0
,arena_001,,EntrustBossSP1_Noraml1,"1398.626,787.21265,30.296875","-1.0192995e-008,0,0,1",MHMonsterSpawnPoint,,163,0
141004;,arena_001,,MHSpawnPoint46,"1421.26,741.89899,30","0.92387956,0,0,0.38268346",MHMonsterSpawnPoint,,93,50070
141006;141005;141004;141003;141002;141001;141000;,arena_001,,Tussock9,"1431.6917,735.43506,30","4.3711388e-008,0,0,1",MHMonsterSpawnPoint,,311,0
140921;,arena_001,,TaoBao_2,"1389.027,736.42474,30","-0.34202015,0,0,0.93969262",MHMonsterSpawnPoint,,177,70066
140921;,arena_001,,TaoBao_20,"1392.5415,737.729,30","-0.35020733,0,0,0.93667221",MHMonsterSpawnPoint,,176,70066
140132;,arena_001,,MHSpawnPoint64,"1409.0262,735.03375,30","1,0,0,0",MHMonsterSpawnPoint,,55,60023
141004;,arena_001,,MHSpawnPoint42,"1397.2048,742.10577,30","0.92387956,0,0,0.38268346",MHMonsterSpawnPoint,,92,50050
140923;,arena_001,,MHSpawnPoint76,"1404.4963,750.19562,30.055115","0.034899253,0,0,0.99939084",MHMonsterSpawnPoint,,205,60870
140921;,arena_001,,TaoBao_9,"1426.433,742.63116,30.016626","0.93969268,0,0,0.34202009",MHMonsterSpawnPoint,,175,70066
140921;,arena_001,,Xiangguzhu_4,"1400.5516,716.57025,30.037601","0.8746199,0,0,-0.48480922",MHMonsterSpawnPoint,,174,50040
451105;,arena_001,,MHSpawnPoint82,"1410.7882,741.45941,30.040051","1,0,0,0",MHMonsterSpawnPoint,,153,60870
281050;281049;281048;281047;281046;281045;281044;281043;281042;281041;281040;281039;281038;281037;281036;281035;281034;281033;281032;281031;281030;281029;281028;281027;281026;281025;281024;281023;281022;281021;281020;281019;281018;281017;281016;281015;281014;281013;281012;281011;281010;281005;281004;281003;281002;281001;220110;220109;220108;220107;220106;220105;220104;220103;220102;220101;210116;210115;210114;210113;210112;210111;210110;210109;210108;210107;210106;210105;210104;210103;210102;210101;200527;200526;200525;200524;200523;200522;200521;200520;200519;200518;200517;200516;200515;200514;200513;200512;200511;200510;200509;200508;200507;200506;200505;200504;200437;200436;200428;200427;200426;200425;200424;200423;200422;200421;200420;200419;200418;200417;200416;200415;200414;200413;200412;200411;200410;200409;200408;200407;200406;200405;200404;200343;200342;200341;200340;200339;200338;200337;200336;200328;200327;200326;200325;200324;200323;200322;200321;200320;200319;200318;200317;200316;200315;200314;200313;200312;200311;200310;200309;200308;200307;200306;200305;200304;200235;200234;200233;200232;200231;200230;200229;200228;200227;200226;200225;200224;200223;200222;200221;200220;200209;200208;200207;200206;200205;200204;200136;200135;200134;200133;200132;200131;200130;200129;200128;200127;200126;200125;200124;200123;200122;200121;200120;200119;200111;200110;200109;200108;200107;200106;140089;140088;140087;140086;140085;140084;140083;140082;140081;140080;140079;140078;140077;140076;140075;140074;140073;140072;140071;140070;140069;140068;140067;140066;140065;140064;140063;140062;140061;140060;140059;140058;140057;140056;140055;140054;140053;,arena_001,,DM_Spawner_7,"1421.9271,728.22803,30.081274","1,0,0,0",MHMonsterSpawnPoint,,125,0
141004;141003;141002;141001;141000;141006;141005;,arena_001,,MHSpawnPoint_Normal10,"1419.2363,713.8952,30.001444","0.71933979,0,0,0.6946584",MHMonsterSpawnPoint,,63,0
141006;141005;141004;141003;141002;141001;141000;,arena_001,,Tussock01,"1392.8818,733.66693,30.007807","4.3711388e-008,0,0,1",MHMonsterSpawnPoint,,309,0
141004;,arena_001,,MHSpawnPoint31,"1401.3016,735.05957,30","-0.37460667,0,0,0.92718381",MHMonsterSpawnPoint,,105,50170
140130;,arena_001,,MHSpawnPoint62,"1421.3539,732.39282,32.445904","1,0,0,0",MHMonsterSpawnPoint,,57,60140
140921;,arena_001,,TaoBao_19,"1401.5652,734.7337,30","0.99996191,0,0,0.0087264879",MHMonsterSpawnPoint,,172,70066
141004;,arena_001,,MHSpawnPoint45,"1421.8218,748.92072,30","0.37460667,0,0,0.92718381",MHMonsterSpawnPoint,,90,50070
141006;141005;141004;141003;141002;141001;141000;,arena_001,,LowAlt01,"1430.4451,745.44556,33.92712","4.3711388e-008,0,0,1",MHMonsterSpawnPoint,,308,0
,arena_001,,BossIndoorPoint1,"1412.5376,785.99286,30.296875","-1.0192995e-008,0,0,1",MHMonsterSpawnPoint,,162,0
